location_identifier,location_target_encoded
G-10 - Islamabad,20717431.19266055
E-11 - Islamabad,16151873.449131511
G-15 - Islamabad,14261571.847507332
Bani Gala - Islamabad,15852475.247524751
DHA Defence - Islamabad,14144768.72659176
F-11 - Islamabad,18890760.56338028
Diplomatic Enclave - Islamabad,24843750.0
B-17 - Islamabad,9047000.0
Bhara kahu - Islamabad,8385865.92178771
Garden Town - Islamabad,7736363.636363637
Koral Town - Islamabad,5136600.0
Soan Garden - Islamabad,12402744.33656958
Blue Area - Islamabad,24628571.42857143
G-11 - Islamabad,18579059.06313645
Ghauri Town - Islamabad,8804051.17270789
I-16 - Islamabad,4253166.666666667
Multan Road - Lahore,8794846.93877551
Allama Iqbal Town - Lahore,17550526.315789472
Military Accounts Housing Society - Lahore,11995871.59533074
Eden - Lahore,12636812.080536911
Askari - Lahore,21287739.03262092
Bedian Road - Lahore,11477029.702970296
Gulberg - Lahore,25804512.31527093
Chaman Park - Lahore,17900000.0
Chungi Amar Sadhu - Lahore,4522000.0
Karim Park - Lahore,14000000.0
Cantt - Lahore,12263933.121019108
Al-Raheem Garden - Lahore,10214285.714285716
EME Society - Lahore,32110465.11627907
Mateen Avenue - Lahore,8503846.153846154
Paragon City - Lahore,15070256.41025641
IEP Engineers Town - Lahore,17823076.923076924
Muslim Town - Faisalabad,12191666.666666666
Millat Town - Faisalabad,8861764.705882354
Raza Abad - Faisalabad,6579166.666666667
Humak - Rawalpindi,9333333.333333334
Bahria Town Rawalpindi - Rawalpindi,16222487.796250442
Gulshan Abad - Rawalpindi,13643900.709219858
Media Town - Rawalpindi,22679699.2481203
Chakri Road - Rawalpindi,5322815.533980583
Askari 14 - Rawalpindi,18301666.666666668
Askari 13 - Rawalpindi,25995000.0
Askari 12 - Rawalpindi,29700000.0
Askari 10 - Rawalpindi,28300000.0
Gulshan-e-Iqbal - Rawalpindi,6686764.705882353
Shalley Valley - Rawalpindi,10795901.639344262
DHA Defence - Karachi,17555670.12635379
Malir - Karachi,10987500.0
Gadap Town - Karachi,8288307.535641548
Gulshan-e-Iqbal Town - Karachi,14148343.496903287
Scheme 33 - Karachi,14405732.054015636
Cantt - Karachi,29218685.831622176
Abul Hassan Isphani Road - Karachi,7268376.068376068
Shahra-e-Faisal - Karachi,10704661.016949153
Gizri - Karachi,6877027.027027027
Saddar Town - Karachi,8596728.971962618
Gulistan-e-Jauhar - Karachi,12294672.296083365
Emaar Canyon Views - Islamabad,28077272.727272727
F-17 - Islamabad,14191666.666666666
I-12 - Islamabad,4670277.777777778
F-10 - Islamabad,24220000.0
Bahria Town - Islamabad,20039841.24087591
Bahria Town - Lahore,16942340.971838765
Architects Engineers Housing Society - Lahore,20419444.444444444
DHA Defence - Lahore,30287459.82763414
Samanabad - Lahore,10960327.272727272
Mozang - Lahore,10465625.0
Abdullahpur - Faisalabad,5828571.428571428
Askari 7 - Rawalpindi,15770588.23529412
Askari 4 - Rawalpindi,12928571.42857143
Askari 3 - Rawalpindi,13560000.0
Askari 2 - Rawalpindi,12300000.0
Westridge - Rawalpindi,20781632.653061222
Askari 1 - Rawalpindi,10466666.666666666
Bahria Town Karachi - Karachi,12307251.650297858
Jinnah Avenue - Karachi,13012015.503875967
PAF Housing Scheme - Karachi,3760000.0
G-13 - Islamabad,20203921.828908555
PWD Housing Scheme - Islamabad,14433766.233766234
Jinnah Avenue - Islamabad,26680000.0
Kuri Road - Islamabad,13294285.714285716
Pakistan Town - Islamabad,12256611.570247931
Gulberg - Islamabad,6632146.443514644
Chatha Bakhtawar - Islamabad,7523214.285714285
Model Town - Lahore,25452975.4601227
Sultan Pura - Lahore,13666666.666666666
